index,pokedex_number,name,german_name,generation,status,species,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
1,1,Bulbasaur,Bisasam,1,Normal,Seed Pokémon,Grass,Poison,0.7,6.9,2,Overgrow,,Chlorophyll,318,45,49,49,65,65,45,45,70,64,Medium Slow,Grass,Monster,87.5,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
2,2,Ivysaur,Bisaknosp,1,Normal,Seed Pokémon,Grass,Poison,1,13,2,Overgrow,,Chlorophyll,405,60,62,63,80,80,60,45,70,142,Medium Slow,Grass,Monster,87.5,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,3,Venusaur,Bisaflor,1,Normal,Seed Pokémon,Grass,Poison,2,100,2,Overgrow,,Chlorophyll,525,80,82,83,100,100,80,45,70,236,Medium Slow,Grass,Monster,87.5,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
4,3,Mega Venusaur,Bisaflor,1,Normal,Seed Pokémon,Grass,Poison,2.4,155.5,1,Thick Fat,,,625,80,100,123,122,120,80,45,70,281,Medium Slow,Grass,Monster,87.5,20,1,1,0.5,0.5,0.25,1,0.5,1,1,2,2,1,1,1,1,1,1,0.5
5,4,Charmander,Glumanda,1,Normal,Lizard Pokémon,Fire,,0.6,8.5,2,Blaze,,Solar Power,309,39,52,43,60,50,65,45,70,62,Medium Slow,Dragon,Monster,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
6,5,Charmeleon,Glutexo,1,Normal,Flame Pokémon,Fire,,1.1,19,2,Blaze,,Solar Power,405,58,64,58,80,65,80,45,70,142,Medium Slow,Dragon,Monster,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
7,6,Charizard,Glurak,1,Normal,Flame Pokémon,Fire,Flying,1.7,90.5,2,Blaze,,Solar Power,534,78,84,78,109,85,100,45,70,240,Medium Slow,Dragon,Monster,87.5,20,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
8,6,Mega Charizard X,Glurak,1,Normal,Flame Pokémon,Fire,Dragon,1.7,110.5,1,Tough Claws,,,634,78,130,111,130,85,100,45,70,285,Medium Slow,Dragon,Monster,87.5,20,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1
9,6,Mega Charizard Y,Glurak,1,Normal,Flame Pokémon,Fire,Flying,1.7,100.5,1,Drought,,,634,78,104,78,159,115,100,45,70,285,Medium Slow,Dragon,Monster,87.5,20,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
10,7,Squirtle,Schiggy,1,Normal,Tiny Turtle Pokémon,Water,,0.5,9,2,Torrent,,Rain Dish,314,44,48,65,50,64,43,45,70,63,Medium Slow,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
11,8,Wartortle,Schillok,1,Normal,Turtle Pokémon,Water,,1,22.5,2,Torrent,,Rain Dish,405,59,63,80,65,80,58,45,70,142,Medium Slow,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
12,9,Blastoise,Turtok,1,Normal,Shellfish Pokémon,Water,,1.6,85.5,2,Torrent,,Rain Dish,530,79,83,100,85,105,78,45,70,239,Medium Slow,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
13,9,Mega Blastoise,Turtok,1,Normal,Shellfish Pokémon,Water,,1.6,101.1,1,Mega Launcher,,,630,79,103,120,135,115,78,45,70,284,Medium Slow,Monster,Water 1,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
14,10,Caterpie,Raupy,1,Normal,Worm Pokémon,Bug,,0.3,2.9,2,Shield Dust,,Run Away,195,45,30,35,20,20,45,255,70,39,Medium Fast,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
15,11,Metapod,Safcon,1,Normal,Cocoon Pokémon,Bug,,0.7,9.9,1,Shed Skin,,,205,50,20,55,25,25,30,120,70,72,Medium Fast,Bug,,50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
16,12,Butterfree,Smettbo,1,Normal,Butterfly Pokémon,Bug,Flying,1.1,32,2,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,45,70,178,Medium Fast,Bug,,50,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
17,13,Weedle,Hornliu,1,Normal,Hairy Bug Pokémon,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195,40,35,30,20,20,50,255,70,39,Medium Fast,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
18,14,Kakuna,Kokuna,1,Normal,Cocoon Pokémon,Bug,Poison,0.6,10,1,Shed Skin,,,205,45,25,50,25,25,35,120,70,72,Medium Fast,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
19,15,Beedrill,Bibor,1,Normal,Poison Bee Pokémon,Bug,Poison,1,29.5,2,Swarm,,Sniper,395,65,90,40,45,80,75,45,70,178,Medium Fast,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
20,15,Mega Beedrill,Bibor,1,Normal,Poison Bee Pokémon,Bug,Poison,1.4,40.5,1,Adaptability,,,495,65,150,40,15,80,145,45,70,223,Medium Fast,Bug,,50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
21,16,Pidgey,Taubsi,1,Normal,Tiny Bird Pokémon,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255,70,50,Medium Slow,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
22,17,Pidgeotto,Tauboga,1,Normal,Bird Pokémon,Normal,Flying,1.1,30,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120,70,122,Medium Slow,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
23,18,Pidgeot,Tauboss,1,Normal,Bird Pokémon,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45,70,216,Medium Slow,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
24,18,Mega Pidgeot,Tauboss,1,Normal,Bird Pokémon,Normal,Flying,2.2,50.5,1,No Guard,,,579,83,80,80,135,80,121,45,70,261,Medium Slow,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
25,19,Rattata,Rattfratz,1,Normal,Mouse Pokémon,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255,70,51,Medium Fast,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
26,19,Alolan Rattata,Rattfratz,1,Normal,Mouse Pokémon,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72,255,70,51,Medium Fast,Field,,50,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
27,20,Raticate,Rattikarl,1,Normal,Mouse Pokémon,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127,70,145,Medium Fast,Field,,50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
28,20,Alolan Raticate,Rattikarl,1,Normal,Mouse Pokémon,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77,127,70,145,Medium Fast,Field,,50,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
29,21,Spearow,Habitak,1,Normal,Tiny Bird Pokémon,Normal,Flying,0.3,2,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,255,70,52,Medium Fast,Flying,,50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
